[GIN] 2021/01/21 - 11:16:00 | 200 |   35.816001ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   33.257854ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   49.036932ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   54.290079ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   38.997624ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   36.725615ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  115.004888ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  117.003941ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   35.050116ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  116.276685ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  115.568204ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   43.662099ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   55.805869ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   42.967586ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  125.293908ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   41.845312ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   48.258154ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  126.700392ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   43.784522ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   48.721614ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   127.78135ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   46.857231ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  125.001619ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  126.230453ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  126.073922ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   46.952946ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   44.377567ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  126.782337ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  126.710055ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |    126.2574ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   50.727555ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |    126.6874ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   48.828064ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  126.234402ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  124.972343ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   45.537347ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  127.769212ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |   54.965679ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  136.008582ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  136.604085ms |       127.0.0.1 | GET      "/goods/buyone"
[GIN] 2021/01/21 - 11:16:00 | 200 |  136.376051ms |       127.0.0.1 | GET      "/goods/buyone"
